customer_id,first_name,last_name,email,join_date
1,Danielle,Johnson,john21@example.net,2025-07-07
2,Patricia,Miller,fjohnson@example.org,2024-06-07
3,William,Johnson,jennifermiles@example.com,2024-05-29
4,Shane,Ramirez,blakeerik@example.com,2024-08-30
5,Joshua,Lewis,curtis61@example.com,2025-09-28
6,Maurice,Baker,blairamanda@example.com,2024-02-09
7,Andrea,Calderon,barbara10@example.net,2024-06-04
8,Kendra,Galloway,michellejames@example.com,2025-04-16
9,Mary,Martin,jason41@example.net,2025-04-16
10,George,Daniel,stevennelson@example.net,2025-05-27
11,Angela,Cohen,perezantonio@example.com,2024-10-16
12,Joseph,Clark,jason76@example.net,2024-11-30
13,Douglas,Taylor,julie69@example.com,2024-09-16
14,Jeffrey,Bright,ddavis@example.org,2024-04-06
15,Courtney,Conner,ycarlson@example.com,2025-03-16
16,Wendy,Rice,frazierdanny@example.net,2025-07-15
17,Joseph,Davidson,cartereric@example.org,2025-06-22
18,Nancy,Baker,williamrodriguez@example.net,2024-07-28
19,Meagan,Romero,ericfarmer@example.net,2025-08-05
20,Sandra,Sellers,tracy15@example.com,2024-06-12
21,Brian,Humphrey,millertodd@example.org,2025-07-22
22,Amanda,Martinez,karroyo@example.com,2025-01-22
23,Monique,Henderson,sarahcampos@example.net,2024-05-14
24,Jennifer,Ross,samuel87@example.org,2024-06-19
25,Jeffrey,Morgan,briannasmith@example.net,2025-04-13
26,Brian,Jones,heathchad@example.org,2024-07-13
27,Elizabeth,Lewis,jenniferkhan@example.net,2024-12-11
28,John,Kennedy,glee@example.net,2024-11-08
29,Michael,Jenkins,nuneztracey@example.org,2024-01-26
30,Richard,Morgan,wrightjames@example.com,2024-03-27
31,Robert,Ramirez,nancyjones@example.net,2024-02-24
32,Brent,Kidd,novaksara@example.org,2024-04-17
33,Richard,Olson,kbarrera@example.com,2023-12-11
34,Tricia,Baker,smitchell@example.net,2025-08-09
35,Angela,Higgins,jamesrobinson@example.org,2025-03-03
36,Jill,Brown,brian97@example.net,2025-11-23
37,Melissa,Moore,yorkcasey@example.org,2025-05-17
38,Michelle,Powell,bethwilliams@example.org,2024-10-30
39,Diane,Cunningham,sarah35@example.org,2024-07-03
40,Randy,Powers,stephen10@example.com,2025-04-05
41,Yolanda,Ferrell,medinawilliam@example.org,2025-12-03
42,Michael,Jones,mikemoore@example.net,2025-06-08
43,Kevin,Riggs,contrerasangela@example.net,2024-02-28
44,Sheila,Taylor,prestonjulia@example.org,2024-07-08
45,Juan,Clark,james48@example.com,2024-06-22
